time_points,happiness,surprise,fear,sadness,anger,disgust
44,1.1666666666666667,0.0,0.0,1.0333333333333334,0.0,0.0
45,1.1666666666666667,0.0,0.0,1.1666666666666667,0.0,0.0
46,1.1666666666666667,0.0,0.0,1.1666666666666667,0.0,0.0
47,1.1666666666666667,0.0,0.0,1.1666666666666667,0.0,0.0
48,1.1666666666666667,0.19999999999999998,0.0,1.1666666666666667,0.0,0.0
49,1.1666666666666667,1.3,0.0,1.1666666666666667,0.0,0.0
50,1.3,0.8333333333333334,0.0,1.1666666666666667,0.0,0.0
51,1.9166666666666667,0.0,0.0,1.1666666666666667,0.0,0.0
52,1.8833333333333335,1.4083333333333332,0.0,1.1666666666666667,0.0,0.0
53,2.2333333333333334,4.5,0.0,1.1666666666666667,0.0,0.0
54,2.433333333333333,3.033333333333333,0.0,1.1666666666666667,0.0,0.0
55,2.8333333333333335,0.049999999999999996,0.0,1.1666666666666667,0.0,0.0
56,2.8000000000000003,0.0,0.0,1.1666666666666667,0.0,0.0
57,2.216666666666667,0.0,0.0,1.1666666666666667,0.0,0.0
58,2.1666666666666665,0.0,0.0,1.1666666666666667,0.0,0.0
59,2.1666666666666665,0.0,0.0,1.1666666666666667,0.0,0.0
60,2.033333333333333,0.0,0.0,1.1666666666666667,0.0,0.0
61,1.675,0.09999999999999999,0.0,1.1666666666666667,0.0,0.0
62,2.216666666666667,1.4833333333333334,0.0,1.1666666666666667,0.0,0.0
63,2.5,2.3333333333333335,0.0,1.1666666666666667,0.0,0.0
64,1.6833333333333333,2.05,0.0,1.1666666666666667,0.0,0.0
65,1.6666666666666667,1.1166666666666667,0.0,1.1666666666666667,0.0,0.0
66,1.6666666666666667,1.0,0.0,1.1666666666666667,0.0,0.0
67,1.6666666666666667,1.5666666666666667,0.0,1.1666666666666667,0.0,0.0
68,1.6666666666666667,2.1166666666666667,0.0,1.1666666666666667,0.0,0.0
69,1.6666666666666667,1.2583333333333333,0.0,1.1666666666666667,0.0,0.0
70,1.6666666666666667,0.6333333333333333,0.0,1.1666666666666667,0.0,0.0
71,1.6666666666666667,1.2833333333333334,0.0,0.4083333333333334,0.0,0.0
72,1.1583333333333334,1.3333333333333333,0.0,0.0,0.0,0.0
73,0.0,1.4833333333333334,0.0,0.0,0.0,0.0
74,0.0,1.6666666666666667,0.0,0.0,0.0,0.0
75,0.0,1.6666666666666667,0.0,0.0,0.0,0.0
76,0.0,2.475,0.0,0.049999999999999996,0.0,0.0
77,0.0,5.116666666666666,0.0,0.3333333333333333,0.0,0.0
78,0.3333333333333333,4.625,0.0,0.3333333333333333,0.0,0.0
79,1.1666666666666667,4.908333333333333,0.0,0.3333333333333333,0.0,0.0
80,0.3333333333333333,4.6000000000000005,0.0,0.3333333333333333,0.0,0.0
81,0.0,3.3833333333333333,0.0,0.3333333333333333,0.0,0.0
